"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2024","EQ","1,286.90","1,289.95","1,280.10","1,294.65","1,283.50","1,281.65","1,282.67","1,362.35","970.15","84,49,607","10,83,80,26,946.50","1,47,036"
"30-Dec-2024","EQ","1,304.95","1,326.50","1,289.45","1,307.55","1,293.45","1,294.65","1,303.69","1,362.35","970.15","1,42,07,425","18,52,20,89,560.05","2,58,242"
"27-Dec-2024","EQ","1,298.55","1,315.95","1,298.55","1,297.35","1,307.55","1,307.55","1,306.98","1,362.35","970.15","47,56,066","6,21,60,64,274.20","1,09,355"
"26-Dec-2024","EQ","1,307.00","1,312.75","1,289.20","1,297.25","1,297.00","1,297.35","1,296.86","1,362.35","970.15","73,38,444","9,51,69,53,866.75","1,91,694"
"24-Dec-2024","EQ","1,296.80","1,304.50","1,290.25","1,296.80","1,298.95","1,297.25","1,295.88","1,362.35","970.15","71,38,516","9,25,06,48,957.45","1,25,187"
"23-Dec-2024","EQ","1,294.65","1,307.00","1,287.05","1,288.40","1,297.35","1,296.80","1,295.12","1,362.35","970.15","68,27,512","8,84,24,49,619.05","2,08,282"
"20-Dec-2024","EQ","1,283.95","1,297.75","1,272.40","1,286.90","1,292.00","1,288.40","1,287.83","1,362.35","970.15","5,84,91,181","75,32,67,11,266.25","2,87,315"
"19-Dec-2024","EQ","1,286.00","1,303.00","1,284.45","1,314.15","1,289.50","1,286.90","1,290.73","1,362.35","970.15","1,15,17,304","14,86,57,36,643.05","2,41,978"
"18-Dec-2024","EQ","1,325.25","1,334.95","1,307.45","1,333.75","1,316.90","1,314.15","1,316.49","1,362.35","970.15","85,10,595","11,20,40,88,446.20","1,97,721"
"17-Dec-2024","EQ","1,342.00","1,348.10","1,326.05","1,346.10","1,334.00","1,333.75","1,333.43","1,362.35","970.15","98,79,257","13,17,33,06,009.95","2,08,644"
"16-Dec-2024","EQ","1,344.90","1,350.45","1,340.05","1,344.90","1,343.60","1,346.10","1,345.53","1,362.35","970.15","90,71,006","12,20,52,96,470.75","2,37,730"
"13-Dec-2024","EQ","1,325.35","1,347.15","1,313.50","1,329.25","1,345.45","1,344.90","1,334.68","1,362.35","970.15","1,35,36,684","18,06,71,55,840.10","2,26,965"
"12-Dec-2024","EQ","1,321.55","1,338.75","1,321.55","1,327.50","1,330.60","1,329.25","1,330.74","1,362.35","970.15","90,76,896","12,07,90,25,779.50","1,89,489"
"11-Dec-2024","EQ","1,324.70","1,331.25","1,316.00","1,330.45","1,328.00","1,327.50","1,325.69","1,362.35","970.15","81,38,066","10,78,85,13,650.25","1,77,570"
"10-Dec-2024","EQ","1,319.00","1,332.00","1,315.25","1,322.30","1,331.35","1,330.45","1,327.71","1,362.35","970.15","82,18,214","10,91,13,93,630.45","1,57,320"
"09-Dec-2024","EQ","1,322.10","1,329.05","1,320.25","1,328.75","1,323.50","1,322.30","1,323.57","1,362.35","970.15","80,00,764","10,58,95,99,383.15","1,48,025"
"06-Dec-2024","EQ","1,342.50","1,347.10","1,326.70","1,336.50","1,329.00","1,328.75","1,334.62","1,362.35","961.40","89,42,672","11,93,50,98,947.85","2,08,546"
"05-Dec-2024","EQ","1,316.25","1,342.90","1,308.60","1,316.05","1,336.55","1,336.50","1,329.38","1,362.35","961.40","1,92,10,697","25,53,82,93,421.05","2,81,891"
"04-Dec-2024","EQ","1,302.60","1,320.00","1,301.70","1,308.40","1,315.60","1,316.05","1,313.28","1,362.35","961.40","1,15,70,281","15,19,50,02,837.45","2,47,575"
