FirstDateAfterFYReport,EPS
01-04-2014, 9.00 
01-04-2015, -173.75 
01-04-2016, -150.00 
01-04-2017, -5.55 
01-04-2018, 0.90 
01-04-2019, 9.33 
01-04-2020, 16.49 
01-04-2021, 14.88 
01-04-2022, 17.66 
01-04-2023, 27.72 
