FirstDateAfterFYReport,EPS
01-04-2015, 24.77 
01-04-2016, 27.63 
01-04-2017, 36.18 
01-04-2018, 29.72 
01-04-2019, 35.08 
01-04-2020, 42.49 
01-04-2021, 48.44 
01-04-2022, 76.05 
01-04-2023, 86.89 
01-04-2024, 113.56 
