FirstDateAfterFYReport,EPS
01-04-2015, -52.77 
01-04-2016, -41.39 
01-04-2017, 23.47 
01-04-2018, 27.82 
01-04-2019, 19.01 
01-04-2020, -17.93 
01-04-2021, 31.21 
01-04-2022, 50.58 
01-04-2023, 28.45 
01-04-2024, 11.40 
