FirstDateAfterFYReport,EPS
01-04-2015, 7.43 
01-04-2016, -1.39 
01-04-2017, 14.57 
01-04-2018, 25.71 
01-04-2019, 31.60 
01-04-2020, 16.67 
01-04-2021, 32.73 
01-04-2022, 85.49 
01-04-2023, 17.14 
01-04-2024, 36.03 
