"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"07-Jan-2025","EQ","901.55","913.70","899.20","900.90","910.70","911.80","909.88","1,063.00","761.75","6,88,211","62,61,87,523.95","37,189"
"06-Jan-2025","EQ","915.05","919.85","897.90","915.05","902.25","900.90","905.33","1,063.00","761.75","11,04,617","1,00,00,45,586.30","71,696"
"03-Jan-2025","EQ","914.00","924.70","908.50","912.50","913.00","915.05","919.01","1,063.00","761.75","26,91,743","2,47,37,49,002.30","71,743"
"02-Jan-2025","EQ","909.50","915.70","901.45","905.45","911.50","912.50","909.83","1,063.00","761.75","16,36,373","1,48,88,19,884.05","74,036"
"01-Jan-2025","EQ","901.15","910.00","890.70","901.50","906.85","905.45","902.11","1,063.00","761.75","10,20,555","92,06,49,613.25","48,814"
